OurAffLink,Title,Image,Price,Merchant,Points,Team,Type,Season,ID
http://www.awin1.com/pclick.php?p=3517675099&a=215431&m=6716,2011-12 Manchester United Away Shirt *BNIB* 3XL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-11-away-tags.jpg,14.99,classic football shirts,0,Manchester United,shirt,2011,1
http://www.awin1.com/pclick.php?p=3517675169&a=215431&m=6716,2012-13 Manchester City Umbro Striped Polo T-Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-city-12-polo-leis-darkgrey-tags.jpg,16.99,classic football shirts,0,Manchester City,shirt,2012,2
http://www.awin1.com/pclick.php?p=3517675187&a=215431&m=6716,2011-12 Manchester United Player Issue Domestic Green GK Shirt *BNIB* XXL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-11-gk-green-pi-tags_2.jpg,59.99,classic football shirts,0,Manchester United,shirt,2011,3
http://www.awin1.com/pclick.php?p=3517675191&a=215431&m=6716,2011-12 Arsenal Player Issue European Third Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-third-pi-e-tags_5.jpg,74.99,classic football shirts,0,Arsenal,shirt,2011,4
http://www.awin1.com/pclick.php?p=3517675193&a=215431&m=6716,2011-12 Arsenal L/S Player Issue Domestic (Late Season) Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-away-pi-ls-tags_2_3.jpg,44.99,classic football shirts,0,Arsenal,shirt,2011,5
http://www.awin1.com/pclick.php?p=3517675201&a=215431&m=6716,2011-12 Arsenal L/S Player Issue European (Late Season) Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-away-pi-euro-ls-tags_3_3.jpg,44.99,classic football shirts,0,Arsenal,shirt,2011,6
http://www.awin1.com/pclick.php?p=3517675211&a=215431&m=6716,2011-12 Arsenal L/S Player Issue Domestic Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-home-pi-ls-tags_4.jpg,39.99,classic football shirts,0,Arsenal,shirt,2011,7
http://www.awin1.com/pclick.php?p=3517675255&a=215431&m=6716,2011-12 Arsenal Player Issue Domestic Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-home-pi-tags_4_1.jpg,39.99,classic football shirts,0,Arsenal,shirt,2011,8
http://www.awin1.com/pclick.php?p=3517675257&a=215431&m=6716,2011-12 Arsenal Player Issue Domestic (Early Season) Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/media/catalog/product/a/r/arsenal-11-away-pi-dom-tags-early_2.jpg,39.99,classic football shirts,0,Arsenal,shirt,2011,9
http://www.awin1.com/pclick.php?p=3517675431&a=215431&m=6716,2012-13 Manchester United GK Away Shirt *BNIB* XL,https://www.classicfootballshirts.co.uk/media/catalog/product/m/a/man-united-12-gk-blue-tags.jpg,34.99,classic football shirts,0,Manchester United,shirt,2012,10
